7zip 25.01-1
sdl3 3.2.26-1
sdl_net 1.2.8-6
sdl_sound 1.0.3-13
seabios 1.17.0-2
seatd 0.9.1-1
sed 4.9-3
semver 7.7.3-1
serd 0.32.6-1
sfml 3.0.2-1
sg3_utils 1.48-1
shaderc 2025.4-2
shadow 4.18.0-1
shared-mime-info 2.4-2
shiboken6 6.10.0-3
shortwave 1:3.2.0-1
signon-kwallet-extension 25.08.3-1
signon-plugin-oauth2 0.25-3
signon-ui 0.17+20231016-3
signond 8.61-3
simde 0.8.2-1
simdjson 1:4.2.2-1
slang 2.3.3-4
slurp 1.5.0-1
smartmontools 7.5-1
smbclient 2:4.23.3-2
snappy 1.2.2-2
sndio 1.10.0-1
socat 1.8.0.3-2
sof-firmware 2025.05.1-1
solid 6.19.0-1
solid5 5.116.0-2
sonnet 6.19.0-1
sonnet5 5.116.0-2
sord 0.16.20-1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.0-1
source-highlight 3.1.9-16
sox 14.6.1.2-1
spandsp 0.0.6-6
spdlog 1.16.0-1
spectacle 1:6.5.2-1
speex 1.2.1-2
speexdsp 1.2.1-2
spice 0.16.0-2
spice-gtk 0.42-4
spice-protocol 0.14.5-1
spirv-tools 1:1.4.328.1-1
splix 2.0.1-1
sqlite 3.51.0-1
squashfuse 0.6.1-1
sratom 0.6.20-1
srt 1.5.4-1
startup-notification 0.12-9
steam 1.0.0.85-1
stirling-pdf-bin 1.5.0-1
stmp 0.0.3-1
stoken 0.92-5
stormy 0.3.2-1
sudo 1.9.17.p2-1
suil 0.10.24-1
suitesparse 7.12.1-1
supergfxctl 5.2.7-2
supertuxkart 1.5-1
svt-av1 3.1.2-1
svt-hevc 1.5.1-3
swappy 1.8.0-1
swaybg 1.2.1-1
swaync 0.12.3-1
swi-prolog 9.2.9-3
swtpm 0.10.1-1
swww 0.11.2-1
syndication 6.19.0-1
syndication5 5.116.0-2
syntax-highlighting 6.19.0-1
sysfsutils 2.1.1-2
system-config-printer 1.5.18-5
systemd 258.2-2
systemd-libs 258.2-2
systemd-resolvconf 258.2-2
systemd-sysvcompat 258.2-2
systemsettings 6.5.2-1
taglib 2.1.1-1
tailscale 1.90.6-1
talloc 2.4.3-1
tar 1.35-2
tcl 8.6.16-1
tdb 1.4.14-1
tesseract 5.5.1-2
tesseract-data-afr 2:4.1.0-4
tesseract-data-eng 2:4.1.0-4
tesseract-data-osd 2:4.1.0-4
tevent 1:0.17.1-1
texinfo 7.2-1
thin-provisioning-tools 1.3.0-1
threadweaver 6.19.0-1
thunar 4.20.6-1
thunderbird 145.0-1
tinysparql 3.10.1-2
tk 8.6.16-1
tldr 3.4.3-2
tmux 3.5_a-1
tomlplusplus 3.4.0-1
tpm2-tss 4.1.3-1
tree-sitter 0.25.10-1
tree-sitter-c 0.24.1-1
tree-sitter-lua 0.4.0-1
tree-sitter-markdown 0.5.1-1
tree-sitter-query 0.7.0-1
tree-sitter-vim 0.7.0-1
tree-sitter-vimdoc 4.0.0-1
tslib 1.24-1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-droid 20121017-11
ttf-fantasque-nerd 3.4.0-1
ttf-fira-code 6.2-2
ttf-hack 3.003-7
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.4.0-1
ttf-liberation 2.1.5-2
ttf-opensans 3.003-1
ttf-victor-mono 1.5.6-1
tumbler 4.20.1-1
twolame 0.4.0-4
typescript 5.9.3-1
tzdata 2025b-1
uchardet 0.0.8-3
udisks2 2.10.2-1
umu-launcher 1.2.9-1
unibilium 2.1.2-1
unoconv 0.9.0-1
unpaper 7.0.0-5
unrar 1:7.2.1-1
unshield 1.6.2-1
unzip 6.0-23
upower 1.90.10-1
usb_modeswitch 2.6.2-1
usbmuxd 1.1.1-4
usbredir 0.15.0-1
usbutils 019-1
uthash 2.3.0-2
util-linux 2.41.2-1
util-linux-libs 2.41.2-1
v4l-utils 1.32.0-1
vala 0.56.18-5
valgrind 3.25.1-3
vamp-plugin-sdk 2.10.0-3
vapoursynth 72-1
vde2 2.3.3-8
ventoy-bin 1.1.07-2
verdict 1.4.4-1
vi 1:070224-6
vid.stab 1.1.1-2
vim 9.1.1908-1
vim-runtime 9.1.1908-1
virglrenderer 1.2.0-1
virt-install 5.1.0-1
virt-manager 5.1.0-1
virtiofsd 1.13.2-1
visual-studio-code-insiders-bin 1762872624-1
vlc 3.0.21-31
vlc-cli 3.0.21-31
vlc-gui-qt 3.0.21-31
vlc-plugin-a52dec 3.0.21-31
vlc-plugin-alsa 3.0.21-31
vlc-plugin-archive 3.0.21-31
vlc-plugin-dav1d 3.0.21-31
vlc-plugin-dbus 3.0.21-31
vlc-plugin-dbus-screensaver 3.0.21-31
vlc-plugin-faad2 3.0.21-31
vlc-plugin-flac 3.0.21-31
vlc-plugin-gnutls 3.0.21-31
vlc-plugin-inflate 3.0.21-31
vlc-plugin-journal 3.0.21-31
vlc-plugin-jpeg 3.0.21-31
vlc-plugin-lua 3.0.21-31
vlc-plugin-mpg123 3.0.21-31
vlc-plugin-ogg 3.0.21-31
vlc-plugin-opus 3.0.21-31
vlc-plugin-png 3.0.21-31
vlc-plugin-pulse 3.0.21-31
vlc-plugin-shout 3.0.21-31
vlc-plugin-speex 3.0.21-31
vlc-plugin-tag 3.0.21-31
vlc-plugin-theora 3.0.21-31
vlc-plugin-twolame 3.0.21-31
vlc-plugin-vorbis 3.0.21-31
vlc-plugin-vpx 3.0.21-31
vlc-plugin-xml 3.0.21-31
vlc-plugins-base 3.0.21-31
vlc-plugins-video-output 3.0.21-31
vmaf 3.0.0-1
volume_key 0.3.12-11
vpnc 1:0.5.3.r539.r239-1
vte-common 0.82.1-2
vte3 0.82.1-2
vtk 9.5.2-4
vulkan-headers 1:1.4.328.1-1
vulkan-icd-loader 1.4.328.1-1
vulkan-tools 1.4.328.1-1
vulkan-validation-layers 1.4.328.1-1
wallust 3.4.0-1
wavpack 5.8.1-1
waybar 0.14.0-4
waydroid 1.5.4-4
wayland 1.24.0-1
wayland-protocols 1.45-1
wayland-utils 1.2.0-2
webkit2gtk-4.1 2.50.1-2
webp-pixbuf-loader 0.2.7-1
webrtc-audio-processing-1 1.3-5
welcome 25.11-1
wget 1.25.0-3
which 2.23-1
whipper 0.10.0-7
wildmidi 0.4.6-1
wine 10.19-1
wine-mono 10.3.0-1
wineasio 1.3.0-2
winetricks 20250102-1
wireplumber 0.5.12-1
wireshark-cli 4.6.0-1
wireshark-qt 4.6.0-1
wl-clipboard 1:2.2.1-3
wlogout 1.2.2-0
wlroots0.17 0.17.4-4
wlroots0.18 0.18.3-1
woff2 1.0.2-6
wolfssl 5.8.2-1
wpa_supplicant 2:2.11-3
wpebackend-fdo 1.16.0-1
wxwidgets-common 3.2.8.1-2
wxwidgets-gtk3 3.2.8.1-2
x264 3:0.165.r3222.b35605a-2
x265 4.1-1
xapian-core 1:1.4.29-1
xbitmaps 1.1.3-2
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcb-util-xrm 1.3-4
xclip 0.13-6
xcur2png 0.7.1-8
xdelta3 3.1.0-9
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.20.3-2
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.11-1
xdg-desktop-portal-kde 6.5.2-1
xdg-user-dirs 0.19-2
xdg-utils 1.2.1-1
xf86-input-libinput 1.5.0-1
xfconf 4.20.0-2
xfsprogs 6.17.0-2
xivlauncher 1:1.2.1-1
xkeyboard-config 2.46-1
xl2tpd 1.3.19-1
xmlsec 1.3.9-1
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.20-1
xorg-server-common 21.1.20-1
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.4-1
xorg-xdpyinfo 1.4.0-1
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.4.7-1
xorg-xkill 1.0.6-2
xorg-xmessage 1.0.7-1
xorg-xmodmap 1.0.11-2
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xset 1.2.5-2
xorg-xsetroot 1.1.3-2
xorg-xwayland 24.1.9-1
xorgproto 2024.1-2
xsane 0.999-8
xsettingsd 1.0.2-3
xterm 403-1
xvidcore 1.3.7-3
xwaylandvideobridge 0.4.0-2
xxhash 0.8.3-1
xz 5.8.1-1
yad 14.1_eos-2
yajl 2.1.0-6
yaml-cpp 0.8.0-2
yarn 1.22.22-2
yasm 1.3.0-9
yay 12.5.2-2
ydotool 1.0.4-2
yt-dlp 2025.11.12-2
yyjson 0.12.0-1
zbar 0.23.93-4
zed 0.212.6-1
zenity 4.2.1-1
zeromq 4.3.5-2
zimg 3.0.5-1
zix 0.6.2-1
zlib 1:1.3.1-2
zlib-ng 2.2.5-1
zopfli 1.0.3-4
zsh 5.9-5
zsh-completions 0.35.0-3
zstd 1.5.7-2
zvbi 0.2.44-1
zxing-cpp 2.3.0-5
