7zip 25.01-1
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.26.1-2
granite 1:6.2.0-1
granite7 7.6.0-1
grantleetheme 25.08.3-1
graphene 1.10.8-2
graphite 1:1.3.14-5
graphviz 14.0.4-1
grep 3.12-2
grim 1.5.0-2
groff 1.23.0-7
grub 2:2.14rc1-2
gscan2pdf 2.13.5-1
gsettings-desktop-schemas 49.1-1
gsettings-system-schemas 49.1-1
gsfonts 20200910-6
gsm 1.0.22-2
gspell 1.14.1-2
gssdp 1.6.4-1
gssproxy 0.9.2-2
gst-libav 1.26.8-1
gst-plugin-pipewire 1:1.4.9-1
gst-plugins-bad 1.26.8-1
gst-plugins-bad-libs 1.26.8-1
gst-plugins-base 1.26.8-1
gst-plugins-base-libs 1.26.8-1
gst-plugins-good 1.26.8-1
gst-plugins-ugly 1.26.8-1
gstreamer 1.26.8-1
gtest 1.17.0-1
gtk-doc 1.35.1-1
gtk-engine-murrine 0.98.2-4
gtk-layer-shell 0.10.0-1
gtk-update-icon-cache 1:4.20.2-3
gtk-vnc 1.5.0-1
gtk2 2.24.33-5
gtk3 1:3.24.51-1
gtk4 1:4.20.2-3
gtk4-layer-shell 1.3.0-1
gtkmm-4.0 4.20.0-1
gtkmm3 3.24.10-1
gtksourceview3 1:3.24.11+r30+gd880929f-1
gtksourceview4 4.8.4-2
gts 0.7.6.121130-5
guile 3.0.10-1
gumbo-parser 0.13.2-1
gupnp 1:1.6.9-1
gupnp-igd 1.6.0-2
gutenprint 5.3.5-1
gvfs 1.58.0-2
gvfs-mtp 1.58.0-2
gwenview 25.08.3-1
gzip 1.14-2
harfbuzz 12.2.0-2
harfbuzz-icu 12.2.0-2
haveged 1.9.19-1
hdf5 1.14.6-5
hdparm 9.65-3
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.3.0-1
hiredis 1.3.0-1
hplip 1:3.25.6-1
htop 3.4.1-1
httrack 3.49.5-1
hunspell 1.7.2-2
hwdata 0.401-1
hwdetect 2025.08.16.1333-1
hwinfo 25.0-2
hwloc 2.12.2-1
hyphen 2.8.8-6
hyprcursor 0.1.13-2
hyprgraphics 0.3.0-1
hypridle 0.1.7-4
hyprland 0.52.1-3
hyprland-guiutils 0.1.0-3
hyprland-qt-support 0.1.0-9
hyprlang 0.6.5-1
hyprlock 0.9.2-4
hyprpolkitagent 0.1.3-3
hyprtoolkit 0.3.0-1
hyprutils 0.10.2-1
hyprwayland-scanner 0.4.5-1
i2c-tools 4.4-3
iana-etc 20251030-1
icu 78.1-1
ijs 0.35-6
imagemagick 7.1.2.8-1
imath 3.2.2-2
img2pdf 0.6.1-1
imlib2 1.12.5-1
inetutils 2.6-1
iniparser 4.2.6-2
intel-ucode 20251111-1
intltool 0.51.0-6
inxi 3.3.39.1-1
iotop 0.6-12
iproute2 6.17.0-1
iptables-nft 1:1.8.11-2
iputils 20250605-1
iso-codes 4.19.0-1
iwd 3.10-1
jansson 2.14.1-1
jasper 4.2.8-1
java-commons-lang 3.17.0-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-1
jbigkit 2.1-8
jdk-openjdk 25.0.1.u8-1
jdk21-openjdk 21.0.9.u10-1
jemalloc 1:5.3.0-5
jetbrains-toolbox 3.0.1.59888-1
jfsutils 1.1.15-9
jq 1.8.1-1
js115 115.30.0-1
js128 128.14.0-1
js140 140.5.0-1
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
jxrlib 0.2.4-2
k3b 1:25.08.3-1
kaccounts-integration 25.08.3-1
kactivitymanagerd 6.5.2-1
karchive 6.19.0-1
karchive5 5.116.0-2
kate 25.08.3-1
kauth 6.19.0-1
kauth5 5.116.0-2
kbd 2.9.0-1
kbookmarks 6.19.0-1
kbookmarks5 5.116.0-2
kcalc 25.08.3-1
kcalendarcore 6.19.0-1
kcmutils 6.19.0-1
kcmutils5 5.116.0-2
kcodecs 6.19.0-1
kcodecs5 5.116.0-2
kcolorpicker 0.3.1-5
kcolorscheme 6.19.0-1
kcompletion 6.19.0-1
kcompletion5 5.116.0-2
kconfig 6.19.0-1
kconfig5 5.116.0-2
kconfigwidgets 6.19.0-1
kconfigwidgets5 5.116.0-3
kcontacts 1:6.19.0-1
kcoreaddons 6.19.0-1
kcoreaddons5 5.116.0-2
kcrash 6.19.0-1
kcrash5 5.116.0-2
kdbusaddons 6.19.0-1
kdbusaddons5 5.116.0-2
kde-cli-tools 6.5.2-1
kde-gtk-config 6.5.2-1
